fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-07-01;8910;APV;1.57%;1.28%;3.23%;6.39%;3.30%
2023-07-02;8910;APV;1.49%;1.28%;3.21%;6.37%;3.31%
2023-07-03;8910;APV;1.65%;1.09%;3.50%;6.51%;3.49%
2023-07-04;8910;APV;1.61%;1.07%;3.22%;6.51%;3.47%
2023-07-05;8910;APV;1.29%;1.04%;3.02%;6.08%;3.30%
2023-07-06;8910;APV;1.22%;0.64%;2.98%;5.89%;3.25%
2023-07-07;8910;APV;1.00%;0.51%;2.82%;5.63%;3.13%
2023-07-08;8910;APV;1.14%;0.52%;2.80%;5.73%;3.14%
2023-07-09;8910;APV;1.11%;0.52%;2.84%;5.71%;3.16%
2023-07-10;8910;APV;1.15%;0.58%;2.88%;5.73%;3.21%
2023-07-11;8910;APV;1.24%;0.84%;2.92%;5.82%;3.32%
2023-07-12;8910;APV;1.01%;0.99%;2.68%;5.83%;3.29%
2023-07-13;8910;APV;1.26%;1.49%;2.99%;6.17%;3.64%
2023-07-14;8910;APV;1.28%;1.46%;2.99%;6.22%;3.66%
2023-07-15;8910;APV;0.98%;1.43%;2.98%;6.26%;3.67%
2023-07-16;8910;APV;0.87%;1.40%;2.99%;6.24%;3.68%
2023-07-17;8910;APV;1.22%;1.82%;3.32%;6.58%;4.04%
2023-07-18;8910;APV;1.16%;1.86%;3.39%;6.32%;4.00%
2023-07-19;8910;APV;1.01%;2.01%;3.16%;6.18%;3.97%
2023-07-20;8910;APV;0.66%;2.08%;3.07%;6.12%;3.85%
2023-07-21;8910;APV;0.71%;2.27%;3.12%;6.15%;3.92%
2023-07-22;8910;APV;0.72%;2.24%;3.11%;6.21%;3.93%
2023-07-23;8910;APV;0.79%;2.21%;3.12%;6.19%;3.94%
2023-07-24;8910;APV;0.84%;2.10%;3.27%;6.23%;4.00%
2023-07-25;8910;APV;1.02%;2.35%;3.47%;6.31%;4.20%
2023-07-26;8910;APV;0.93%;2.43%;3.32%;6.40%;4.12%
2023-07-27;8910;APV;0.86%;2.34%;3.26%;6.44%;4.09%
2023-07-28;8910;APV;1.26%;2.57%;3.57%;6.66%;4.43%
2023-07-29;8910;APV;1.19%;2.54%;3.56%;6.58%;4.44%
2023-07-30;8910;APV;1.13%;2.51%;3.60%;6.56%;4.45%
2023-07-31;8910;APV;1.63%;3.02%;4.29%;7.06%;4.97%
2023-01-31;8295;APV;-0.27%;1.44%;-0.09%;6.01%;-0.25%
2023-02-01;8295;APV;-0.58%;1.12%;-0.27%;5.33%;-0.53%
2023-02-02;8295;APV;-0.59%;1.39%;-0.24%;5.08%;-0.53%
2023-02-03;8295;APV;-0.58%;0.79%;-0.74%;4.94%;-0.79%
2023-02-04;8295;APV;-0.72%;0.92%;-0.84%;4.63%;-0.78%
2023-02-05;8295;APV;-0.66%;0.90%;-0.91%;4.62%;-0.77%
2023-02-06;8295;APV;-0.78%;0.78%;-1.03%;4.50%;-0.86%
2023-02-07;8295;APV;-0.93%;1.02%;-1.17%;4.33%;-0.99%
2023-02-08;8295;APV;-1.27%;0.29%;-1.46%;3.70%;-1.30%
2023-02-09;8295;APV;-1.12%;0.11%;-1.49%;3.54%;-1.28%
2023-02-10;8295;APV;-1.33%;-0.26%;-1.73%;4.11%;-1.36%
2023-02-11;8295;APV;-1.58%;-0.59%;-1.69%;4.48%;-1.34%
2023-02-12;8295;APV;-1.64%;-0.59%;-1.94%;4.47%;-1.32%
2023-02-13;8295;APV;-1.93%;-0.87%;-2.23%;4.16%;-1.59%
2023-02-14;8295;APV;-2.15%;-1.59%;-2.48%;3.88%;-1.80%
2023-02-15;8295;APV;-2.22%;-2.15%;-2.56%;3.83%;-1.86%
2023-02-16;8295;APV;-1.87%;-2.19%;-2.29%;4.10%;-1.72%
2023-02-17;8295;APV;-2.14%;-2.68%;-2.59%;4.12%;-2.06%
2023-02-18;8295;APV;-1.88%;-2.76%;-2.65%;4.31%;-2.04%
2023-02-19;8295;APV;-2.23%;-2.75%;-2.65%;4.31%;-2.02%
2023-02-20;8295;APV;-2.10%;-2.70%;-2.61%;4.36%;-1.95%
2023-02-21;8295;APV;-2.47%;-3.78%;-3.00%;3.86%;-2.31%
2023-02-22;8295;APV;-2.45%;-3.61%;-2.47%;4.11%;-2.28%
2023-02-23;8295;APV;-2.31%;-3.20%;-1.78%;4.89%;-2.01%
2023-02-24;8295;APV;-1.84%;-2.76%;-1.41%;4.67%;-1.76%
2023-02-25;8295;APV;-1.79%;-2.68%;-1.55%;4.37%;-1.74%
2023-02-26;8295;APV;-2.04%;-2.68%;-1.19%;4.36%;-1.72%
2023-02-27;8295;APV;-1.47%;-2.23%;-0.76%;4.83%;-1.26%
2023-02-28;8295;APV;-1.47%;-2.10%;-0.78%;4.91%;-1.25%
2023-03-01;8295;APV;-1.14%;-2.78%;-0.96%;4.41%;-1.66%
2023-03-02;8295;APV;-1.60%;-3.58%;-1.72%;3.53%;-2.12%
2023-03-03;8295;APV;-1.00%;-3.26%;-1.41%;4.11%;-1.78%
2023-03-04;8295;APV;-0.99%;-3.25%;-1.42%;4.05%;-1.76%
2023-03-05;8295;APV;-0.98%;-3.09%;-1.37%;4.05%;-1.74%
2023-03-06;8295;APV;-1.12%;-3.21%;-1.56%;3.78%;-1.97%
2023-03-07;8295;APV;-1.26%;-3.18%;-1.64%;3.95%;-2.23%
2023-03-08;8295;APV;-0.68%;-2.94%;-1.24%;4.25%;-1.98%
2023-03-09;8295;APV;-1.04%;-2.81%;-1.91%;3.28%;-2.30%
2023-03-10;8295;APV;-0.93%;-2.81%;-1.91%;3.31%;-2.27%
2023-03-11;8295;APV;-0.94%;-2.83%;-1.93%;3.69%;-2.27%
2023-03-12;8295;APV;-0.96%;-2.58%;-2.31%;3.69%;-2.27%
2023-03-13;8295;APV;0.42%;-1.11%;-0.65%;4.84%;-1.17%
2023-03-14;8295;APV;0.55%;-1.56%;-1.15%;5.00%;-1.26%
2023-03-15;8295;APV;0.78%;-1.33%;-0.91%;5.01%;-1.09%
